tc,tc_float,ev,ev_min,ev_max,n2,n3,n4,n5,n6,n7,n8,n9,n10,nA
2,2.689655172413793,1.3275907012421906,1.327589814381854,1.3276335800871453,5,2,6,5,2,6,4,5,16,7
4,4.216216216216216,1.09680335516565,1.0968033329570044,1.0968198444359243,0,2,2,5,3,4,4,2,13,2
-1,-1.9324324324324325,-1.396868651356373,-1.3968692806178629,-1.3967941934448092,24,24,24,24,24,24,21,22,88,21
-2,-2.280701754385965,-1.3617879738802179,-1.3617888494060801,-1.3617122767861032,15,20,17,22,19,15,19,18,65,18
2,2.2127659574468086,0.8912947534093987,0.8912946493280843,0.8913687289601215,11,11,9,11,9,12,10,11,45,12
0,0.0,-0.28813033342965466,-0.28813104217952284,-0.2880438465516808,20,22,22,22,19,22,19,23,83,22
-2,-2.0526315789473686,-1.1834195559586558,-1.1834199259984368,-1.1833253198969673,12,17,11,11,8,18,10,12,40,13
0,-0.6933333333333334,-0.7944719989685272,-0.7944724433413359,-0.7944040564231993,24,22,24,24,24,24,23,21,92,22
-1,-1.3109243697478992,-1.0448909137329732,-1.0448913097243033,-1.0448168949092789,19,19,16,20,21,20,17,17,71,18
1,1.5072463768115942,0.9246036573928005,0.9246035249723306,0.9246415352593412,6,6,2,6,5,5,8,4,22,5
0,-0.45614035087719296,0.8059353535696908,0.8059349441650975,0.8059936502185596,11,8,10,7,9,5,10,10,33,11
-4,-4.257309941520468,-2.3546796296061716,-2.354680004599534,-2.3546323411051424,14,14,16,14,12,14,16,15,47,9
0,0.5306122448979592,0.9548920165773063,0.954890720966209,0.9549775554694115,8,9,8,10,4,7,6,6,26,14
-1,-1.5238095238095237,-1.2428284038686914,-1.242828587029407,-1.2427807857870918,21,21,23,21,23,22,21,20,84,17
0,-0.6753246753246753,-0.22937182723158345,-0.22937206119636655,-0.22933259796032382,8,12,13,13,15,8,12,14,49,10
0,0.4581497797356829,0.18508063038236905,0.1850803867508228,0.18515339170410972,18,15,18,15,19,20,16,19,66,21
-9,-9.043478260869566,-3.2009399419223334,-3.2009399419223334,-3.200932759348761,3,1,0,3,2,5,2,2,4,1
-4,-4.9523809523809526,2.0362344798955987,2.036232610969726,2.036249575115761,4,0,1,3,3,0,1,0,6,3
0,-0.5379310344827587,-0.597463857732384,-0.5974640571188958,-0.597411375634878,23,21,21,24,23,22,24,23,89,20
1,1.0441767068273093,0.9134098330887648,0.9134097388903003,0.913498250016882,20,22,16,15,19,18,20,22,75,22
-1,-1.3220338983050848,0.07614449106766076,0.07614422502541084,0.07621330540946868,9,13,8,7,8,10,12,9,30,12
0,-0.7123287671232877,-0.3908635181483602,-0.3908638803549748,-0.39078891062713006,11,12,10,10,14,12,16,6,43,12
0,0.0,-0.5492753392005448,-0.5492756918748527,-0.5492100113774551,19,17,22,23,21,22,22,20,82,20
0,0.2113821138211382,-0.36148853861803604,-0.3614888787055335,-0.3614116022536627,16,21,22,18,17,22,18,17,74,21
7,7.0,4.755949149472652,4.75594849165466,4.755971451389541,2,5,0,3,5,5,4,6,18,4
3,3.759036144578313,2.036494983034257,2.036494884193533,2.0365258185032062,11,11,13,9,11,12,15,17,54,13
0,0.5810055865921787,0.5584239030018074,0.5584237349480823,0.5584906885256211,14,17,15,11,12,13,12,14,54,17
0,-0.7849056603773585,-0.4020112828456629,-0.4020114197696346,-0.4019564158698933,22,21,19,20,22,18,22,21,81,19
1,1.4444444444444444,0.3020024149725347,0.30200226635976163,0.302045679694609,8,6,10,9,5,10,8,11,33,8
-1,-1.4285714285714286,-1.116128364117892,-1.1161290377775934,-1.1160390988043674,13,14,16,14,17,16,13,10,53,16
0,-0.4482758620689655,-0.44133920635869633,-0.4413394037919545,-0.44127373702525324,19,17,19,19,15,18,17,21,70,17
0,0.0,0.42214613124876277,0.4221460855176296,0.4221917152841197,11,16,16,9,12,10,20,17,53,11
-1,-1.6149068322981366,-1.5213559878869423,-1.5213560738402128,-1.5213153317464203,15,15,12,15,9,11,16,7,54,7
-5,-5.924050632911393,-3.0066641305299653,-3.0066645381513584,-3.0066152317173405,11,16,14,15,13,9,16,13,42,9
0,0.4837209302325581,-0.05300514627089471,-0.05300524672804971,-0.05295984925802222,17,16,15,15,18,19,16,16,68,15
0,0.0,-0.01830920890012561,-0.01830978558266184,-0.01824404649246978,11,11,11,17,14,9,8,15,51,13
0,0.0,-0.3239185300151214,-0.32391874823330624,-0.3238407395503288,23,23,22,24,21,24,22,24,90,23
-2,-2.1224489795918364,-0.8865798675539973,-0.886579953481362,-0.8865264112920667,11,16,12,10,10,9,16,10,43,10
4,4.814814814814814,2.80872390845167,2.808723859541684,2.8087538088485187,3,4,3,3,4,4,8,3,19,3
-2,-2.567901234567901,-1.7265499761946408,-1.7265502465445328,-1.7264972210334029,6,6,5,8,8,7,6,6,25,4
0,0.0,2.7574698134616056,2.7574697064475013,2.7574977980065727,2,5,3,1,3,2,1,3,11,3
0,-0.7647058823529411,-0.6927910049287707,-0.6927913853586842,-0.6927090028773838,22,20,21,21,24,22,19,19,82,22
0,-0.19188191881918817,-0.08568773749684139,-0.0856880856027467,-0.08561053633228567,20,23,21,19,24,19,19,20,84,22
0,0.0,-0.2405569632026442,-0.24055698388954758,-0.24051732308125917,14,10,9,9,8,13,10,11,42,8
2,2.374429223744292,1.2877743911317172,1.2877742354314092,1.2878380244250742,17,17,16,16,11,16,18,21,67,20
0,0.3586206896551724,-0.19406806146764555,-0.19406822131425158,-0.19399098857996228,23,23,23,22,20,24,20,22,91,22
1,1.7049180327868854,0.4558071860633507,0.45580710148461717,0.4558711169811093,16,13,10,18,10,14,15,14,59,14
4,4.216216216216216,2.393913114421672,2.393912933176824,2.393951595789783,11,9,11,12,10,10,8,12,48,17
-2,-2.204946996466431,-1.471599726147288,-1.4716000623341352,-1.471536672446688,23,24,23,22,24,21,23,19,85,19
0,-0.304093567251462,-0.16655482625465878,-0.16655509385733794,-0.1665070769248833,12,16,13,13,11,14,15,13,48,16
3,3.9661016949152543,2.769967863157145,2.7699676523677943,2.7700176772357143,9,8,6,8,11,7,10,8,37,14
0,0.4262295081967213,-0.00407775549814342,-0.00407794496169644,-0.00400065915420541,18,18,17,19,20,20,18,20,74,20
-1,-1.077720207253886,-0.47078899156545345,-0.4707893423697211,-0.4707017537852414,19,14,15,16,14,13,11,17,59,15
0,-0.6753246753246753,-0.6988182886791873,-0.6988183824475919,-0.6987749195056994,20,17,18,18,18,18,17,17,73,15
-2,-2.736842105263158,-0.5958789568139933,-0.5958793227023316,-0.5958690430810865,4,7,1,1,2,6,3,1,12,1
-7,-7.323943661971831,-4.625638386324247,-4.6256384087752815,-4.625615058056295,4,5,10,6,8,4,8,3,23,0
-2,-2.2033898305084745,-1.128507731775322,-1.1285085709110179,-1.1284594465534146,7,7,8,10,13,12,10,11,32,8
0,0.2524271844660194,0.1123140070872485,0.11231382217572103,0.1123991331720702,19,14,13,17,16,15,16,16,62,18
1,1.04,0.8498073237720304,0.8498070165374559,0.8498428121940985,4,2,4,4,2,5,7,5,13,4
1,1.5028901734104045,1.0880408999437479,1.0880407095212108,1.0880953373660778,13,12,11,12,15,11,16,15,54,14
0,-0.17275747508305647,-0.34154238104262025,-0.34154257549829037,-0.3414781832422575,23,23,24,23,24,22,23,23,94,22
0,0.8188976377952755,0.8869080135979958,0.8869079009350476,0.8869670262992344,11,7,9,7,11,11,12,12,36,11
2,2.4615384615384617,1.2725727732387853,1.272572597185603,1.2726558379568316,13,14,10,11,14,13,15,9,55,15
-8,-8.878048780487806,-3.5871899765157083,-3.5871974618092017,-3.5871325143855657,1,3,3,7,6,4,2,2,10,3
2,2.3318385650224216,0.9936162653160205,0.9936161605763506,0.9936593724865727,12,18,15,15,18,18,20,19,71,17
1,1.1954022988505748,0.5928782182324451,0.5928780661727828,0.5929562617379817,19,20,18,19,20,19,22,22,80,22
-7,-7.703703703703703,-4.402463355668709,-4.40246470142484,-4.402390031289607,8,8,12,12,11,8,6,8,29,6
1,1.3829787234042552,0.09183710422293467,0.0918367968751933,0.09190455148095901,9,14,14,17,15,16,16,13,58,16
0,-0.3909774436090226,-0.6297093534103728,-0.6297096109949079,-0.6296537144063039,18,21,19,23,22,20,23,19,82,19
-1,-1.4149659863945578,-1.2604728036249984,-1.2604741309336875,-1.2603951523902417,8,13,10,17,10,11,15,9,42,12
4,4.0,2.7140426138647302,2.7140424667905116,2.7141058276770464,10,6,9,5,7,7,9,6,35,10
1,1.6421052631578947,0.4381892890274544,0.43818876239533155,0.43826578403706956,13,14,15,13,17,17,14,9,61,17
0,0.7591240875912408,0.0707116715440989,0.07071154737972123,0.07077203686049513,9,12,11,8,8,15,12,12,39,11
0,0.3586206896551724,-0.0174685637726055,-0.01746871909168063,-0.01741690074569374,22,21,23,21,24,22,21,23,92,21
-3,-3.231638418079096,-2.1695792955372246,-2.169579734110038,-2.1695303105165227,11,17,15,16,14,14,16,12,51,11
0,-0.19402985074626863,-0.42292686346399677,-0.42292725873913245,-0.42284396334601004,21,21,17,22,21,23,21,21,80,21
1,1.6666666666666667,2.128841395293634,2.1288412209805885,2.1288855076720505,14,14,15,8,8,7,11,15,52,12
-12,-12.235294117647058,-4.468458267795213,-4.468459917823926,-4.4684279204967945,5,4,2,5,2,4,0,2,8,2
2,2.5999999999999996,4.8303431196310855,4.830342776142376,4.8303616500269415,2,2,1,1,2,1,2,0,7,2
0,0.18118466898954705,-0.11850694712502524,-0.11850717315112755,-0.11843267027233614,23,22,21,22,21,22,23,23,88,22
0,-0.23214285714285715,-0.40034685550271526,-0.40034709803616214,-0.40025747939724476,19,18,17,16,16,21,14,18,67,18
-1,-1.4736842105263157,-0.7173433824916777,-0.7173437055470009,-0.7172606656509133,20,18,19,20,20,18,20,22,70,20
-1,-1.650793650793651,-0.49783916644039405,-0.49783969321669436,-0.4977880805263785,5,5,4,5,6,4,9,2,19,4
6,6.782608695652174,7.259164027297547,7.259163547716589,7.259172817887278,1,4,0,1,1,2,1,3,7,3
0,0.18181818181818182,-0.21298816395294423,-0.21298834546037126,-0.2128936859065466,23,21,23,22,20,23,22,22,87,23
0,0.934131736526946,0.01304618751980555,0.0130457906177334,0.01308749584712395,9,10,18,13,14,11,14,11,55,12
1,1.7843137254901962,1.1564342055479393,1.1564337387637555,1.1564852861954504,10,20,16,17,18,10,12,13,68,20
1,1.902439024390244,0.5566042677619606,0.556603858279196,0.5566443252224802,6,4,6,9,7,6,5,4,30,5
0,0.9570552147239264,0.5878441098932068,0.587844057376891,0.5878812190635986,11,13,14,8,12,13,16,15,50,11
9,9.75,5.060031649877397,5.060031534098784,5.060057285602898,4,2,2,3,2,5,4,4,19,3
0,0.6610169491525424,-0.02597185022793876,-0.02597211985241233,-0.02589814663957106,19,17,16,19,17,21,20,16,70,21
0,0.0,1.2842819411495834,1.284281763853609,1.2843485761358933,3,7,7,3,3,3,5,7,17,6
-1,-1.9622641509433965,-1.4597592788276246,-1.459759632862516,-1.459699956449587,17,15,16,17,21,18,19,11,63,15
0,0.41935483870967744,0.3789498629280996,0.3789497204967958,0.3789994819312249,11,9,6,10,11,10,8,11,38,10
0,0.7761194029850745,-0.5224403977920238,-0.5224405369016228,-0.5223997157701357,8,13,10,12,7,13,12,7,43,9
1,1.2786885245901638,0.38649244677948663,0.3864922289298099,0.38655928887471036,16,19,14,20,21,20,19,19,76,20
0,0.2385321100917431,-0.12000079930155587,-0.120000951126243,-0.11994793050536855,15,17,16,16,18,18,17,18,67,16
-6,-6.500000000000001,-4.177671746636195,-4.177672392875598,-4.177565265526464,9,12,13,12,7,11,9,9,33,5
0,0.6303030303030304,0.5071241603522139,0.5071240601364095,0.5072058026610331,14,12,16,9,11,13,11,15,50,14
0,-0.4502164502164502,-0.5413613505003873,-0.541361402128545,-0.5413236862899076,18,20,18,16,18,18,19,16,74,14
-1,-1.3333333333333333,-0.36557801944974244,-0.3655781026537106,-0.3655603787717503,4,4,3,2,1,5,5,2,12,1
6,6.1454545454545455,4.791825799974869,4.791825498955947,4.791870452445572,10,7,6,8,7,6,5,10,41,10
-2,-2.1272727272727274,-1.3989993789251869,-1.3989995981215235,-1.39895650398405,19,19,15,20,15,16,19,18,67,12
0,0.7123287671232877,0.7507167948012321,0.7507165526574787,0.7507635735350161,12,12,10,12,12,9,8,11,44,16
-3,-3.5392670157068062,-1.4730541501359349,-1.4730544061874484,-1.4729733501911666,22,13,16,14,11,17,17,18,49,14
2,2.888888888888889,1.936107876567022,1.9361075741628246,1.9361267152890795,1,4,3,4,2,2,3,1,13,3
-1,-1.348148148148148,-0.9906708084768585,-0.9906710818412513,-0.9906032682321176,21,21,24,21,19,21,22,22,80,19
0,-0.6782608695652174,-0.8382390009488151,-0.8382390450783647,-0.8382033837332642,19,17,21,17,15,18,19,18,74,12
-1,-1.6774193548387097,1.5008497595886003,1.500849759588604,1.5008592999305568,2,5,1,3,1,1,4,3,10,1
2,2.108108108108108,2.7268930533697286,2.7268929386334864,2.7269216628659954,5,8,5,4,4,3,7,9,23,6
0,0.3525423728813559,-0.05258268489816184,-0.05258292843776474,-0.05250713062559532,23,24,21,23,22,22,23,22,92,23
1,1.8571428571428572,1.0291203594567997,1.0291202412896476,1.0291673856800279,3,4,4,4,5,5,4,5,18,4
0,0.22807017543859648,-0.08893849164222467,-0.0889387779475101,-0.08887198630764545,20,19,16,19,16,18,13,16,71,20
-8,-8.047619047619047,-4.670000973570611,-4.670001470061615,-4.669951429355512,8,6,6,10,9,7,7,5,23,3
1,1.793103448275862,3.2432563255094093,3.243255398391773,3.2432804362883623,2,3,1,1,3,3,1,4,8,3
11,11.885714285714284,10.247981681536576,10.247981573691025,10.247993778697804,1,2,3,4,1,1,2,2,14,5
-2,-2.459459459459459,-1.13947869021278,-1.1394793217012722,-1.1393997828587987,9,14,11,12,13,12,12,13,39,13
-3,-3.301587301587302,-1.6115522395950124,-1.611552386694335,-1.6114978504099302,8,16,12,6,9,12,10,10,35,8
-2,-2.959349593495935,-1.5721716033972524,-1.572172072687767,-1.572106125351631,21,20,22,22,16,18,20,20,66,21
1,1.1711711711711712,-0.00433244638166286,-0.00433280891927577,-0.00427031175037091,13,17,16,21,17,18,14,17,72,17
0,0.0,1.1601411334302663,1.1601410533520622,1.1601813375135968,9,8,7,2,9,7,5,3,31,4
7,7.8,4.540694036580914,4.54069396236168,4.540725559742066,7,7,4,4,5,8,3,3,35,4
-3,-3.4666666666666663,-1.3914315282457728,-1.3914328436409633,-1.3914008721763176,0,3,6,5,5,2,4,4,12,4
0,0.6190476190476191,0.16270109607788352,0.1627009535942092,0.16274665172509906,5,8,4,5,8,10,7,6,27,4
0,0.8286852589641435,0.19765268316554924,0.19765247934479357,0.19771552781878723,19,17,19,22,18,17,18,22,80,19
-3,-3.8518518518518516,-2.2710615390340907,-2.2710621234223267,-2.2709839324443926,18,14,9,14,14,15,10,11,46,11
2,2.4340425531914893,1.1635352665420622,1.163535149568178,1.1636022758422169,19,16,17,15,18,18,19,17,77,19
2,2.912,1.6012534774321103,1.6012532024066821,1.601320378315423,8,7,8,10,10,8,14,10,38,12
-3,-3.391304347826087,-2.1871505886373535,-2.187158461156438,-2.187098340122281,1,4,4,8,3,3,3,3,13,4
3,3.0952380952380953,0.9939580581859632,0.9939579220747334,0.9939925859458661,4,9,5,8,4,8,6,5,29,6
5,5.3061224489795915,2.6680445203693983,2.6680445027795163,2.6680760365782126,7,8,7,5,6,7,10,5,39,4
3,3.4098360655737707,1.7504452478462103,1.750445128966913,1.7505287876262792,15,14,11,14,13,13,15,9,63,16
0,0.0,-0.5893235358697775,-0.5893239299992156,-0.5892784409627623,7,9,12,14,13,11,8,10,44,11
5,5.531914893617021,2.5051575737906853,2.5051574787363253,2.505199340396538,11,10,12,18,12,12,17,13,68,15
0,-0.5360824742268041,-0.7481975723426052,-0.7481978387498955,-0.7481272845085635,23,21,24,24,23,23,21,20,90,22
0,-0.20717131474103587,-0.3470279653668658,-0.34702809246032257,-0.3469751596899639,21,22,21,16,18,22,14,20,80,17
1,1.6595744680851063,3.238627380167908,3.2386268753585994,3.2386785106949354,10,8,8,5,6,2,7,8,30,10
0,-0.19771863117870722,-0.3861329077995843,-0.3861334586608564,-0.386053589156844,20,21,21,21,21,19,19,18,82,21
-14,-14.857142857142858,-6.262103881377174,-6.262103881377174,-6.26210196930551,2,3,3,4,3,1,1,4,7,0
1,1.3594771241830064,0.626005620345529,0.6260054987970346,0.6260456759877888,14,9,12,10,13,13,9,11,51,11
0,0.9737827715355805,-0.07963007283453749,-0.07963012876336859,-0.0795867633662215,21,18,19,22,18,22,23,21,86,17
-5,-5.333333333333333,-2.577625821229084,-2.5776310545698835,-2.5775890615568238,2,2,3,7,3,2,4,3,10,3
-2,-2.136986301369863,-1.1957455600536928,-1.1957458160498924,-1.1956784977364083,14,13,12,13,8,11,8,13,44,10
1,1.1555555555555554,0.28709695356307396,0.2870968470165372,0.2871325723489108,13,10,8,12,7,12,7,13,45,8
0,-0.7123287671232877,-0.17758293283888602,-0.17758339490044392,-0.17752187123912602,5,4,5,6,9,6,5,5,25,3
0,0.8432432432432433,0.4605612298756078,0.4605610530983866,0.4606068516382998,9,14,13,13,19,14,17,15,58,13
-1,-1.6595744680851063,-0.09611683686756954,-0.09611684994348678,-0.09606007219889805,9,7,8,5,7,6,9,10,30,3
5,5.621621621621621,4.375459717445701,4.375459508777683,4.37547570981054,1,3,3,2,4,2,3,2,14,3
2,2.1185185185185182,0.8160945007865356,0.8160942992574981,0.8161803703048842,22,20,22,17,17,22,22,19,87,22
1,1.8909090909090909,2.1769314569613667,2.1769313423570047,2.176980512372216,13,7,7,6,7,7,7,12,35,9
1,1.3684210526315788,1.014685472891752,1.0146853019991047,1.0147405568001369,17,16,19,11,21,18,16,20,72,18
5,5.243697478991597,3.0082231671256356,3.0082231110192548,3.0082480602628854,8,9,14,9,4,8,6,5,47,9
0,0.3409836065573771,-0.06181982178457859,-0.06182015940193597,-0.06174548054835317,23,24,22,24,23,23,24,24,94,24
0,0.5977011494252873,0.6462402563226927,0.6462398683447904,0.6462932265719572,15,9,14,15,14,9,15,14,51,18
-2,-2.5714285714285716,-1.4839418859469375,-1.4839421030401698,-1.4839016889074839,15,16,12,14,17,15,14,14,54,11
0,0.8082901554404145,-0.16611348047148156,-0.1661141416725799,-0.16605862493987517,16,9,17,17,15,15,15,12,62,15
0,-0.5621621621621622,-0.4507127557472827,-0.45071311615124243,-0.45061819011557086,15,15,17,13,13,14,14,13,56,15
-9,-9.563218390804597,-3.8760700327134727,-3.876070632280147,-3.876002224784418,8,11,6,6,10,7,3,11,20,5
0,0.0,1.0424389034241779,1.0424386273054034,1.0424903632790967,7,11,10,6,13,7,6,12,37,10
2,2.1666666666666665,2.65899297715603,2.658992718503916,2.6590642648787797,4,5,1,3,5,3,5,2,14,6
13,13.0,11.485220626692753,11.485220220247474,11.485268981646927,6,1,0,3,4,2,2,4,19,7
0,-0.768472906403941,-0.07883172389218394,-0.07883180636139052,-0.07877876931864838,17,14,18,14,13,13,20,21,59,14
4,4.857142857142857,3.0005544793004444,3.000554373154707,3.000590257330022,10,13,16,7,15,12,16,15,64,14
1,1.3109243697478992,0.7173878376055528,0.717387622295905,0.7174382362890145,17,16,19,16,21,16,19,19,77,18
-1,-1.9861111111111112,-1.3325381012384712,-1.3325385231080977,-1.3324704404521632,24,22,24,24,23,21,22,22,86,20
-1,-1.4054054054054053,-0.7830341535241372,-0.7830342163270148,-0.7829920189766159,11,17,11,11,9,11,11,12,46,9
0,-0.35616438356164387,-0.6376622844405856,-0.6376627639424233,-0.6375883349696823,23,22,23,23,23,24,22,20,90,22
0,-0.3365695792880259,-0.44181565754313346,-0.44181592005334,-0.4417353031872519,24,24,24,24,24,24,23,24,94,24
0,0.0,-0.31465023269955156,-0.31465036229175,-0.314588339109468,24,24,24,23,22,24,24,24,95,22
22,22.533333333333335,14.427783667930056,14.427783667930056,14.427786194791,0,3,1,2,0,1,2,2,17,2
0,0.3398692810457516,-0.13963278744723698,-0.13963294293484338,-0.1395635664063211,23,24,22,24,23,24,24,24,95,23
-4,-4.333333333333334,-2.739898262877087,-2.739902683736215,-2.739852370977473,1,7,12,3,2,7,4,4,17,3
2,2.65531914893617,1.3322956193374103,1.3322955114933943,1.332364573996906,15,20,14,17,18,17,21,17,74,22
2,2.5490196078431375,1.049878007767856,1.0498779314696118,1.0499376132549345,9,6,8,5,7,11,10,6,31,9
-8,-8.387096774193548,-5.140396458542046,-5.140396548773534,-5.140371366200899,8,7,4,7,3,6,5,3,18,1
0,-0.17391304347826086,-0.4597556172655391,-0.459755858075963,-0.4596939269327504,23,22,24,23,23,24,23,23,92,22
-9,-9.957446808510639,-4.089551507725087,-4.089553456412776,-4.089499109294907,2,6,5,5,5,2,3,5,11,3
1,1.2580645161290323,0.3089525921008853,0.3089524944605691,0.3090211111647426,20,18,21,16,17,21,19,18,79,19
3,3.561643835616439,1.023880810230545,1.0238806273757763,1.0239239568768836,4,6,4,6,5,8,7,3,25,5
-1,-1.9622641509433965,-1.3157441195065174,-1.315744602621705,-1.315708274253495,10,16,9,15,14,13,10,14,48,10
1,1.2264150943396228,0.5222367911954209,0.5222366307843037,0.5223074761992934,18,15,14,17,15,17,14,18,65,19
1,1.6684491978609626,0.6005372212657758,0.6005370758690818,0.6006113565463179,11,16,13,13,13,17,17,15,55,17
-4,-4.16,-0.7846536492080608,-0.7846545963689634,-0.7845772289360591,3,9,3,3,2,4,6,4,13,3
0,-0.4502164502164502,-0.24812388698342305,-0.2481241015168719,-0.24803963679880547,19,18,17,18,19,16,17,18,70,19
-2,-2.404624277456647,-1.6547234679578506,-1.6547238979000047,-1.654664330834726,11,14,15,16,14,13,15,13,50,12
1,1.5877862595419847,0.5822511828248351,0.5822510066010455,0.5823166867798811,17,21,20,17,22,22,19,19,84,21
-2,-2.6,-1.5780799770276492,-1.5780802654751414,-1.5779918437438845,23,21,22,21,19,21,22,18,73,20
0,0.19117647058823528,-0.10670567232558482,-0.1067059981442857,-0.1066164811517394,21,23,22,20,20,20,20,19,85,22
-2,-2.1311475409836063,-1.593487005973885,-1.593487252640082,-1.5934462960263982,10,9,13,8,9,11,10,8,37,7
-3,-3.586206896551724,-2.38849422675446,-2.3884949967606013,-2.388445011985413,9,5,12,10,11,13,7,10,32,7
2,2.122448979591837,0.7633377249927363,0.7633376536839488,0.7633784553901714,11,5,6,10,6,6,9,3,37,5
3,3.872340425531915,1.238966835744924,1.2389666548542915,1.2390112751177764,12,2,6,6,4,13,10,4,30,7
4,4.126984126984127,2.2354255230833946,2.2354254849867052,2.235453303141922,3,5,5,5,5,5,4,3,23,5
-3,-3.804878048780488,-0.5832831660119904,-0.5832836185743371,-0.5832623006204604,1,6,5,4,2,1,2,5,13,2
-2,-2.736842105263158,0.7570596519986017,0.7570596519986017,0.7570596519986009,2,1,1,2,1,2,1,3,5,1
-2,-2.510344827586207,-2.046370552163935,-2.0463707146158767,-2.046332762861957,13,12,12,12,9,15,10,11,44,7
7,7.123287671232878,3.9756274009506476,3.9756272833580213,3.9756588186295416,5,4,3,5,5,6,7,6,25,7
-5,-5.777777777777778,4.633865739352215,4.633865739352215,4.633865739352215,6,0,1,0,0,3,1,2,4,1
6,6.201834862385321,2.312274743287719,2.3122745632993666,2.312302918678088,3,8,10,7,4,11,10,11,35,10
1,1.1428571428571428,-0.26291146673152743,-0.2629121912151089,-0.2628369532325826,12,16,12,18,10,18,13,11,57,15
-1,-1.793103448275862,-0.19553886436430762,-0.1955396888949481,-0.19543636012268642,14,11,11,13,10,10,12,10,36,18
0,0.33766233766233766,0.06721764553857956,0.0672173292941442,0.06727278997167423,11,12,13,12,14,10,10,9,51,12
3,3.7385620915032676,2.6827620182056826,2.682761944031744,2.6827862149961264,10,12,11,10,12,8,10,14,55,11
0,0.8630705394190871,0.4637417299886327,0.46374139374928836,0.46382515167057364,19,17,21,18,18,14,19,18,77,20
0,0.17687074829931973,-0.2115826376094755,-0.21158279445326258,-0.21151389102181783,24,21,22,23,22,23,23,23,91,22
0,-0.5435540069686411,-0.4894252822672579,-0.48942547938577324,-0.48936390753144277,22,23,22,22,23,21,23,22,88,21
0,-0.17391304347826086,-0.30849093904832775,-0.3084913764934046,-0.30841973721958654,24,21,23,23,24,23,23,24,91,23
0,0.0,1.020248116719721,1.0202478842078009,1.0202807890207826,8,10,11,8,10,4,7,11,38,9
0,0.16828478964401294,-0.18392831482157115,-0.18392851382639364,-0.1838550127841457,24,24,24,23,24,24,23,23,96,24
0,0.5531914893617021,0.20652636151639553,0.20652620202077177,0.20660065803210043,23,21,21,20,21,21,23,23,87,22
0,0.0,-0.19576462389136579,-0.19576532128212942,-0.1956741031655366,17,11,13,19,18,14,16,14,60,18
13,13.684210526315788,6.0213588764499,6.021358586811517,6.021365251043445,0,4,4,1,3,6,6,6,24,3
0,0.0,-0.3856404777060539,-0.3856409836227203,-0.38554024890141186,16,12,16,17,13,13,16,11,58,16
0,-0.8125,0.09406578609744978,0.0940652603126231,0.09412772532536912,8,10,9,9,13,10,9,13,34,13
-3,-3.354838709677419,-1.99382193403293,-1.99382270112471,-1.9937765285270341,5,5,9,10,9,7,6,10,27,5
3,3.019354838709677,1.9695582966804352,1.9695582344977878,1.9696021194099755,12,10,12,8,12,12,9,17,52,11
0,0.0,-0.2892719327560051,-0.28927218474230143,-0.2892045350244144,24,24,23,24,24,24,24,24,96,23
15,15.219512195121952,6.233269282051766,6.2332691723264455,6.233271609483744,0,2,2,3,1,5,2,6,18,2
-6,-6.36734693877551,-3.6217468630194807,-3.621748203829519,-3.6216874586038315,4,5,3,6,5,6,2,1,14,3
-1,-1.0833333333333335,-1.027486877522389,-1.0274871509978867,-1.0274376962641243,17,20,22,18,19,19,17,17,75,16
0,0.0,1.1584915012208856,1.1584910658339154,1.1585296144098034,3,3,5,5,6,2,6,8,19,3
-3,-3.417840375586855,-1.7389498078518106,-1.7389504458807417,-1.7388679856335085,19,14,19,17,20,15,17,17,59,16
0,-0.8253968253968255,-0.48498942393905503,-0.48499056523262307,-0.48489318728398906,10,10,9,13,8,8,10,10,37,11
4,4.986301369863014,2.6375745106522324,2.6375743661167754,2.6376179258617367,5,6,4,6,4,6,6,4,24,8
1,1.2999999999999998,0.23916996021999165,0.23916978908464168,0.2392340282758987,21,17,21,23,22,22,22,21,89,22
16,16.956521739130434,15.821743490150817,15.821743475942812,15.82175531375304,2,5,3,0,2,0,4,3,23,4
-3,-3.25,-1.6084905409955712,-1.6084931664150715,-1.608451349214816,1,3,6,5,5,3,5,3,13,4
6,6.5,7.063875214368695,7.063875214368695,7.063876294823065,1,0,3,1,3,0,3,2,10,1
0,0.0,0.8307282060654426,0.8307259569199166,0.8307874894242666,7,0,4,4,4,4,3,3,13,6
1,1.0297029702970297,0.0926797598281368,0.09267967961727507,0.09271836560788638,15,15,13,19,14,14,16,16,67,13
3,3.231638418079096,1.7297668979943943,1.7297665993264484,1.7298302036327389,11,15,11,17,11,9,14,13,60,16
0,-0.8666666666666667,-0.39792544871181,-0.3979255025131232,-0.3978739303638577,10,12,7,9,9,8,11,9,40,5
0,0.5,0.3761997054961726,0.37619954639598807,0.37625583641541294,20,15,14,15,16,14,16,16,67,15
1,1.411764705882353,0.163332018076935,0.16333193040580407,0.16338041725459684,16,14,18,18,14,19,17,19,70,16
0,-0.9454545454545455,-0.79182454654052,-0.791824758988082,-0.7917502901834329,15,13,12,14,10,13,17,10,49,12
1,1.5116279069767442,0.5869736858495064,0.586973556955082,0.5870192893566585,13,14,12,13,10,14,12,17,55,12
0,0.624,0.44338258636406547,0.44338248460103863,0.4434711860606909,22,18,20,14,20,21,17,21,76,21
