tc,tc_float,ev,ev_min,ev_max,n2,n3,n4,n5,n6,n7,n8,n9,n10,nA
0,0.4561403508771929,-0.2447627932434708,-0.2447629146752512,-0.2447249868703412,10,8,9,9,8,10,8,7,37,8
0,-0.975,-0.4692026734577438,-0.4692030546365302,-0.4691253649815143,11,17,12,9,14,16,11,10,45,15
0,0.3525423728813559,-0.0403056433078167,-0.0403060860615797,-0.0402274964263698,23,21,24,22,22,23,22,24,90,24
3,3.0333333333333337,1.3725598506717958,1.3725598067568148,1.372612447889917,7,8,6,10,10,9,11,11,42,6
-8,-8.068965517241379,-2.589860567543002,-2.589862612908401,-2.58979994034993,6,2,7,5,8,2,5,4,14,5
-6,-6.603174603174604,-3.076082842742364,-3.076083743733517,-3.0760089505406394,4,6,7,4,7,7,3,5,16,4
3,3.151515151515152,0.9372059966804532,0.9372058292272238,0.9372420929630114,7,7,11,11,10,12,9,11,44,10
-2,-2.888888888888889,-1.0966756718215271,-1.0966756718215236,-1.0966756718215258,0,2,0,4,1,2,1,2,5,1
-1,-1.2839506172839503,-1.4052279591686183,-1.405228329102996,-1.4051514372042886,16,10,15,14,12,15,8,9,51,12
0,0.1786941580756013,-0.2193969528913787,-0.2193971715920578,-0.2193304885609988,21,24,20,24,22,23,21,24,90,22
0,0.9541284403669724,0.4007683429670411,0.4007679396771073,0.4008263948530555,13,17,17,19,16,15,15,20,66,20
-8,-8.432432432432432,0.8142986887965383,0.8142982050935395,0.8143789396402359,6,4,2,1,4,2,4,3,6,5
0,0.4388185654008439,0.360473568688014,0.3604735116384806,0.3605092111279459,20,20,18,15,18,17,15,21,78,15
-2,-2.4761904761904763,-0.7936166852711617,-0.7936174764818795,-0.7935727188242326,5,3,7,4,7,4,7,3,18,5
-1,-1.905759162303665,-0.8299554286759956,-0.8299559121672382,-0.8299030841403428,16,12,21,14,16,12,15,13,53,19
-1,-1.187214611872146,-0.4778008523833359,-0.4778011866208731,-0.4777108872783477,17,19,17,15,20,16,15,17,64,19
0,0.194756554307116,-0.0955690156606526,-0.0955692704582557,-0.0954911615038481,22,20,20,22,21,18,19,19,85,21
0,0.196969696969697,-0.2197201254251522,-0.2197203041542277,-0.2196483556771495,21,23,18,21,20,20,20,17,84,20
2,2.260869565217392,1.22167067426758,1.2216695999227194,1.2217314806546204,7,2,4,6,5,7,7,4,19,8
1,1.1223021582733814,1.222996866277231,1.222996607788875,1.223031029346372,8,12,9,10,16,7,11,8,48,10
0,-0.5693430656934306,-0.4664451913975397,-0.4664454543518049,-0.4663643172571792,19,22,20,23,21,21,22,24,80,22
0,0.0,2.2273609961035192,2.2273605947493267,2.2273851919938097,2,2,2,2,1,2,1,4,6,3
0,0.3513513513513513,-0.0032448321079556,-0.0032450508793521,-0.0031688146649846,21,23,20,24,24,22,24,24,90,24
4,4.9523809523809526,5.38592308610161,5.3859224141759885,5.385965890327458,3,3,2,4,5,2,1,1,16,5
-1,-1.3744493392070485,-0.6393428147642043,-0.6393430498792435,-0.6392587894201942,20,22,15,17,17,17,15,19,68,17
8,8.465116279069768,5.46222694152738,5.462226588608287,5.46226215973664,5,8,3,1,6,8,12,6,29,8
0,0.2321428571428571,0.1262711610201707,0.126270982706323,0.1263513536640722,22,13,14,16,19,20,15,20,67,18
1,1.6,0.4791885321492278,0.479188465387645,0.4792541311687813,13,14,10,18,17,14,16,15,68,10
-2,-2.0129032258064514,-1.434177705048904,-1.434178492301216,-1.4340859878728007,14,13,13,13,9,15,10,12,44,12
0,0.7172413793103448,-0.6797658091646626,-0.6797660997818458,-0.6797202405830433,9,12,11,12,9,17,11,9,45,10
0,0.2071713147410358,-0.3258523269044259,-0.3258526876408864,-0.32577489589915,20,20,17,20,21,21,18,15,79,20
0,0.0,0.9547964247870988,0.954794579701834,0.9548312191961006,4,1,2,2,3,4,0,1,9,3
3,3.5308641975308643,2.364401240203124,2.3644011607368585,2.364439226423769,15,11,12,12,8,10,10,15,57,12
1,1.2946058091286303,0.5441383867906034,0.5441381968524336,0.5442228371789856,19,17,18,19,16,18,17,22,75,20
4,4.058536585365854,2.218791270032896,2.218791113866518,2.218832438510957,13,14,16,15,14,12,16,17,72,16
0,-0.2331838565022421,-0.4133667476236076,-0.4133674996443753,-0.4132912246732284,14,17,18,19,18,16,19,17,67,18
